date,action,price,shares,leverage,vix,equity,entry,exit,pnl,shares_before,shares_after,qty_diff,notional_diff
2022-12-13,ENTER,111.0514678955078,2701.450108541388,3.0,22.549999237060547,100000.0,,,,,,,
2022-12-14,STOP,,2701.450108541388,,,98200.0,111.0514678955078,108.0616833176146,-1799.9999999999998,,,,
2022-12-14,RE_ENTER,109.13957214355467,2699.295903528955,3.0,21.13999938964844,98200.0,,,,,,,
2022-12-15,STOP,,2699.295903528955,,,96432.4,109.13957214355467,104.6621960877256,-1767.6,,,,
2022-12-15,RE_ENTER,104.98410034179688,2755.6287005187896,3.0,22.829999923706055,96432.4,,,,,,,
2022-12-16,STOP,,2755.6287005187896,,,94696.61679999999,104.98410034179688,103.24290039290024,-1735.7831999999999,,,,
2022-12-16,RE_ENTER,104.16959381103516,2727.1859283174535,3.0,22.6200008392334,94696.61679999999,,,,,,,
2022-12-19,STOP,,2727.1859283174535,,,92992.07769759999,104.16959381103516,102.04899837320043,-1704.5391023999996,,,,
2022-12-19,RE_ENTER,102.9368896484375,2710.1676963972127,3.0,22.420000076293945,92992.07769759999,,,,,,,
2022-12-20,STOP,,2710.1676963972127,,,91318.2202990432,102.9368896484375,101.61490596879788,-1673.8573985567998,,,,
2022-12-20,RE_ENTER,102.43374633789062,2674.457107069535,3.0,21.479999542236328,91318.2202990432,,,,,,,
2022-12-21,BEAR_EXIT,,2674.457107069535,,,97439.54642257647,102.43374633789062,104.7225570678711,6121.326123533276,,,,
2023-01-13,ENTER,111.37683868408205,2624.5909178378174,3.0,18.350000381469727,97439.54642257647,,,,,,,
2023-01-17,REBALANCE,112.037841796875,,,,,,,,2624.5909178378174,2609.0,-15.590917837817415,1734.8627664989326
2023-01-18,REBALANCE,111.33739471435548,,,,,,,,2609.0,2625.0,16.0,1839.3764579759445
2023-01-19,STOP,,2625.0,,,95685.6345869701,111.37683868408205,108.38266150651972,-1753.9118356063764,,,,
2023-01-19,RE_ENTER,108.614501953125,2642.8966537525175,3.0,20.520000457763672,95685.6345869701,,,,,,,
2023-01-20,REBALANCE,112.1463623046875,,,,,,,,2642.8966537525175,2559.0,-83.89665375251752,9334.341904665751
2023-01-23,REBALANCE,117.4342803955078,,,,,,,,2559.0,2444.0,-115.0,13457.419771194109
2023-01-24,REBALANCE,116.60064697265624,,,,,,,,2444.0,2461.0,17.0,2084.9225597385084
2023-01-25,REBALANCE,116.71902465820312,,,,,,,,2461.0,2459.0,-2.0,188.6159229275654
2023-01-26,REBALANCE,118.81051635742188,,,,,,,,2459.0,2416.0,-43.0,5098.155961990065
2023-01-27,REBALANCE,118.03114318847656,,,,,,,,2416.0,2432.0,16.0,1893.6618175509502
2023-01-30,REBALANCE,115.20467376708984,,,,,,,,2432.0,2491.0,59.0,6879.137159347825
2023-01-31,REBALANCE,116.95580291748048,,,,,,,,2491.0,2454.0,-37.0,4280.001306533581
2023-02-01,REBALANCE,122.47062683105467,,,,,,,,2454.0,2343.0,-111.0,13486.01448249782
2023-02-02,REBALANCE,125.08992004394533,,,,,,,,2343.0,2294.0,-49.0,6028.7789020536
2023-02-03,REBALANCE,122.79125213623048,,,,,,,,2294.0,2337.0,43.0,5373.771360397572
2023-02-06,REBALANCE,120.74909210205078,,,,,,,,2337.0,2377.0,40.0,4866.275518417649
2023-02-07,REBALANCE,124.37467956542967,,,,,,,,2377.0,2308.0,-69.0,8581.709566115984
2023-02-08,REBALANCE,121.93789672851562,,,,,,,,2308.0,2354.0,46.0,5624.238111496263
2023-02-09,REBALANCE,122.42130279541016,,,,,,,,2354.0,2344.0,-10.0,1122.8430194851826
2023-02-10,REBALANCE,120.36433410644533,,,,,,,,2344.0,2384.0,40.0,4922.9046154024545
2023-02-13,REBALANCE,122.1746597290039,,,,,,,,2384.0,2349.0,-35.0,4207.485033034987
2023-02-14,REBALANCE,124.80382537841795,,,,,,,,2349.0,2300.0,-49.0,6107.282052993425
2023-02-16,REBALANCE,121.41007995605467,,,,,,,,2300.0,2364.0,64.0,7813.719861984602
2023-02-17,REBALANCE,119.752685546875,,,,,,,,2364.0,2397.0,33.0,3961.555128097825
2023-02-21,REBALANCE,116.11229705810548,,,,,,,,2397.0,2472.0,75.0,8735.727712631458
2023-02-22,REBALANCE,115.54503631591795,,,,,,,,2472.0,2484.0,12.0,1429.5739879611647
2023-02-23,REBALANCE,119.63922119140624,,,,,,,,2484.0,2399.0,-85.0,10126.921678542742
2023-02-24,REBALANCE,117.50334930419922,,,,,,,,2399.0,2442.0,43.0,5166.368780136399
2023-02-27,REBALANCE,118.03114318847656,,,,,,,,2442.0,2432.0,-10.0,1175.1479053494404
2023-02-28,REBALANCE,118.09033966064452,,,,,,,,2432.0,2430.0,-2.0,138.80229377711657
2023-03-01,REBALANCE,118.16925811767578,,,,,,,,2430.0,2429.0,-1.0,94.39346504182322
2023-03-02,REBALANCE,119.21499633789062,,,,,,,,2429.0,2407.0,-22.0,2516.322343826003
2023-03-03,REBALANCE,120.83294677734376,,,,,,,,2407.0,2375.0,-32.0,3787.9991321561392
2023-03-06,REBALANCE,119.75760650634766,,,,,,,,2375.0,2396.0,21.0,2632.5883083346416
2023-03-07,REBALANCE,118.42082977294922,,,,,,,,2396.0,2424.0,28.0,3320.595624923997
2023-03-08,REBALANCE,121.51860809326172,,,,,,,,2424.0,2362.0,-62.0,7504.202257156081
2023-03-09,REBALANCE,119.19034576416016,,,,,,,,2362.0,2408.0,46.0,5529.307065964036
2023-03-10,REBALANCE,117.26162719726562,,,,,,,,2408.0,2448.0,40.0,4690.9054698947
2023-03-13,REBALANCE,117.18270874023438,,,,,,,,2448.0,2449.0,1.0,193.63276481657522
2023-03-14,REBALANCE,120.68990325927734,,,,,,,,2449.0,2378.0,-71.0,8512.66932105989
2023-03-15,REBALANCE,119.33338928222656,,,,,,,,2378.0,2405.0,27.0,3282.1040477755596
2023-03-16,REBALANCE,124.10830688476562,,,,,,,,2405.0,2312.0,-93.0,11423.574296951003
2023-03-17,REBALANCE,123.47692108154295,,,,,,,,2312.0,2324.0,12.0,1578.2622203830397
2023-03-20,REBALANCE,124.71996307373048,,,,,,,,2324.0,2301.0,-23.0,2792.2904224393424
2023-03-21,REBALANCE,125.11459350585938,,,,,,,,2301.0,2294.0,-7.0,831.7758960720967
2023-03-22,REBALANCE,124.310546875,,,,,,,,2294.0,2309.0,15.0,1888.5092296603252
2023-03-23,REBALANCE,127.6155014038086,,,,,,,,2309.0,2249.0,-60.0,7607.288980483718
2023-03-24,REBALANCE,125.5979995727539,,,,,,,,2249.0,2285.0,36.0,4587.00272178679
2023-03-27,REBALANCE,124.13296508789062,,,,,,,,2285.0,2312.0,27.0,3413.078535080247
2023-03-28,REBALANCE,123.26973724365234,,,,,,,,2312.0,2328.0,16.0,2057.2712535861065
2023-03-29,REBALANCE,127.10741424560548,,,,,,,,2328.0,2258.0,-70.0,8849.156602859264
2023-03-30,REBALANCE,128.92759704589844,,,,,,,,2258.0,2226.0,-32.0,4061.6103687283467
2023-03-31,REBALANCE,129.82537841796875,,,,,,,,2226.0,2211.0,-15.0,1934.3885974881123
2023-04-03,REBALANCE,129.08547973632812,,,,,,,,2211.0,2223.0,12.0,1648.9080638888408
2023-04-04,REBALANCE,127.1024932861328,,,,,,,,2223.0,2258.0,35.0,4508.061185837141
